,from_dest,co2_emissions,price,from_airport_code,dest_airport_code,distance
74,"AEP,GRU",534000.0,1422.0,AEP,GRU,1693.9972669064462
75,"AEP,CNF",340000.0,932.0,AEP,CNF,2186.1514575333313
76,"AEP,BRU",1313000.0,3439.0,AEP,BRU,11314.008363596293
77,"AEP,YYZ",1070000.0,3356.0,AEP,YYZ,8961.132382146006
78,"AEP,SCL",150000.0,382.0,AEP,SCL,1147.2760627693297
79,"AEP,SHA",2244000.0,7843.0,AEP,SHA,19640.608698481195
80,"AEP,HGH",2279000.0,23837.0,AEP,HGH,19521.691002997308
81,"AEP,CPH",1368000.0,3658.0,AEP,CPH,12064.567797716256
82,"AEP,PVG",2231000.0,8724.0,AEP,PVG,19634.70896297612
83,"AEP,DUB",1262000.0,5888.0,AEP,DUB,10994.952695172899
84,"AEP,BOG",674000.0,1145.0,AEP,BOG,4666.51307238338
85,"AEP,ADD",1783000.0,9923.5,AEP,ADD,11229.881132925517
86,"AEP,CDG",1312000.0,3790.0,AEP,CDG,11070.32621740373
87,"AEP,MUC",1295000.0,3174.5,AEP,MUC,11541.981753584472
88,"AEP,CAI",1526000.0,4890.0,AEP,CAI,11831.86331048857
89,"AEP,FRA",1305000.0,4143.0,AEP,FRA,11472.655302681913
90,"AEP,DEL",1871000.0,5548.0,AEP,DEL,15782.320096455202
91,"AEP,BOM",1877000.0,5502.0,AEP,BOM,14938.627495685789
92,"AEP,ATH",1502000.0,6891.0,AEP,ATH,11699.035535480018
93,"AEP,CGK",2448000.0,6709.0,AEP,CGK,15227.327263833498
94,"AEP,MXP",1341000.0,4785.0,AEP,MXP,11172.367345353297
95,"AEP,BLR",2096000.0,6480.0,AEP,BLR,15014.458578629696
96,"AEP,NRT",2112000.0,4459.0,AEP,NRT,18303.311558390727
97,"AEP,NBO",1878000.0,9120.0,AEP,NBO,10413.087405522554
98,"AEP,HND",2223000.0,7346.0,AEP,HND,18357.54027132338
99,"AEP,MEX",1088000.0,3084.0,AEP,MEX,7383.001511217743
100,"AEP,CMN",1197000.0,4187.0,AEP,CMN,9225.335276587464
101,"AEP,KUL",2383000.0,7978.0,AEP,KUL,15923.564001387522
102,"AEP,OSL",1399000.0,3705.0,AEP,OSL,12271.69698525602
103,"AEP,PTY",1037000.0,6092.0,AEP,PTY,5330.310882827214
104,"AEP,AMS",1319000.0,3606.5,AEP,AMS,11431.782710818628
105,"AEP,MNL",2510000.0,6655.0,AEP,MNL,17784.843102501905
106,"AEP,LIS",1288000.0,3198.0,AEP,LIS,9602.658514472841
107,"AEP,FCO",1319000.0,4213.0,AEP,FCO,11126.463855435062
108,"AEP,SVO",2232000.0,8004.0,AEP,SVO,13468.723513390529
109,"AEP,JNB",2014000.0,7176.0,AEP,JNB,8113.311371191745
110,"AEP,LIM",644000.0,1474.0,AEP,LIM,3138.2360804715445
111,"AEP,SIN",2329000.0,6460.0,AEP,SIN,15896.067778247876
112,"AEP,MAD",1235000.0,3407.0,AEP,MAD,10055.573385318034
113,"AEP,DOH",1711000.0,5289.0,AEP,DOH,13322.641841653633
114,"AEP,ICN",2169000.0,5042.0,AEP,ICN,19470.89755254864
115,"AEP,DME",1822000.0,8408.0,AEP,DME,13480.067783841045
116,"AEP,BKK",2108000.0,6636.5,AEP,BKK,16888.85201994564
117,"AEP,TPE",2327000.0,6862.0,AEP,TPE,18960.249681152178
118,"AEP,CPT",2328000.0,7307.0,AEP,CPT,6887.640820695889
119,"AEP,DXB",1691000.0,5567.0,AEP,DXB,13659.507325844677
120,"AEP,SAW",1471000.0,3378.0,AEP,SAW,12263.089434743402
121,"AEP,MAN",1364000.0,3442.0,AEP,MAN,11168.775953614573
122,"AEP,LGW",1356000.0,4373.5,AEP,LGW,11094.115242116251
123,"AEP,ARN",1407500.0,5934.0,AEP,ARN,12568.4183910198
124,"AEP,IST",1415000.0,3365.0,AEP,IST,12242.306628090937
125,"AEP,LAX",1216000.0,2636.0,AEP,LAX,9848.581965240484
126,"AEP,LHR",1311500.0,3786.0,AEP,LHR,11105.989098294627
127,"AEP,ORD",1081000.0,3501.0,AEP,ORD,9025.775362242022
128,"AEP,MCO",1036000.0,2757.0,AEP,MCO,7405.770624571147
129,"AEP,ATL",1068000.0,3079.0,AEP,ATL,8053.141331369636
130,"AEP,PHX",1192000.0,2783.0,AEP,PHX,9399.337644918027
131,"AEP,IAH",1043000.0,3552.5,AEP,IAH,8154.698739332266
132,"AEP,CLT",1066000.0,5507.0,AEP,CLT,8103.7332767353055
133,"AEP,MIA",877000.0,2327.0,AEP,MIA,7095.869389648392
134,"AEP,SFO",1231000.0,3274.0,AEP,SFO,10389.308883546562
135,"AEP,SEA",1273000.0,3952.0,AEP,SEA,11114.121959073002
136,"AEP,FLL",1072000.0,2380.0,AEP,FLL,7120.383159329442
137,"SYD,ALG",1954000.0,2509.5,SYD,ALG,17105.811549738184
138,"AEP,ZRH",1317000.0,5257.0,AEP,ZRH,11291.274304964196
139,"SYD,VIE",1879000.0,1516.0,SYD,VIE,15965.20819896152
140,"AEP,JFK",1069000.0,2766.0,AEP,JFK,8508.469228592927
141,"SYD,MEL",220000.0,128.0,SYD,MEL,705.4017258143423
142,"SYD,CNF",2302000.0,1857.0,SYD,CNF,13845.881687067713
143,"AEP,SGN",2454000.0,7642.0,AEP,SGN,16971.771760741343
144,"SYD,GRU",2225000.0,1477.0,SYD,GRU,13367.039485911067
145,"SYD,SCL",1379000.0,2321.0,SYD,SCL,11340.343980158423
146,"SYD,AEP",1721000.0,3845.0,SYD,AEP,11797.687427016583
147,"SYD,YYZ",1562000.0,1223.0,SYD,YYZ,15554.741647193752
148,"SYD,SZX",1242000.0,4114.0,SYD,SZX,7430.437541593987
149,"SYD,BRU",1980000.0,1392.0,SYD,BRU,16737.929193810676
150,"SYD,CTU",1418000.0,2560.0,SYD,CTU,8718.796684473235
151,"SYD,XIY",960000.0,4673.0,SYD,XIY,8795.415942406862
152,"SYD,VCP",2687000.0,4965.0,SYD,VCP,13392.451033830232
153,"SYD,SHA",901000.0,4673.0,SYD,SHA,7890.219909468579
154,"SYD,CGO",938000.0,4673.0,SYD,CGO,8548.597815242832
155,"SYD,CAN",1277000.0,4706.0,SYD,CAN,7529.196850575046
156,"SYD,HGH",888000.0,4665.0,SYD,HGH,7831.9338505148
157,"SYD,DUB",1955000.0,1507.0,SYD,DUB,17215.265842815817
158,"SYD,CPH",1901000.0,1872.0,SYD,CPH,16042.589633893896
159,"SYD,PEK",1107000.0,1505.0,SYD,PEK,8964.504325162943
160,"SYD,CDG",1950000.0,1299.0,SYD,CDG,16944.32573551522
161,"SYD,PVG",884000.0,3577.0,SYD,PVG,7865.40059510735
162,"SYD,ADD",1625000.0,3547.0,SYD,ADD,12623.037015526153
163,"SYD,BOG",1874000.0,1266.0,SYD,BOG,14325.74065870206
164,"SYD,MUC",1861000.0,1562.0,SYD,MUC,16312.05392874165
165,"SYD,CAI",1638000.0,1722.0,SYD,CAI,14403.406989977102
166,"SYD,BOM",1212000.0,908.0,SYD,BOM,10158.96937838435
167,"SYD,DEL",1180500.0,869.0,SYD,DEL,10435.371912337261
168,"SYD,FRA",1841000.0,1289.0,SYD,FRA,16496.48493838162
169,"SYD,MXP",1894000.0,1459.0,SYD,MXP,16591.865441181297
170,"SYD,CGK",737000.0,926.0,SYD,CGK,5518.921520003281
171,"SYD,NBO",1729000.0,3280.0,SYD,NBO,12135.02232511462
172,"SYD,NRT",1195000.0,2687.0,SYD,NRT,7832.152040197667
173,"SYD,ATH",1784000.0,1641.5,SYD,ATH,15307.19667504461
174,"SYD,CMN",2067000.0,2125.0,SYD,CMN,18052.302027850867
175,"SYD,MEX",1621000.0,1244.0,SYD,MEX,12982.564418198092
176,"SYD,BLR",1154000.0,1021.0,SYD,BLR,9354.728199637544
177,"SYD,PTY",1782000.0,1408.0,SYD,PTY,14174.784768893867
